Contestant,Season,Idols found,Idols held,Idols played,Votes voided,Boot avoided,Tie avoided
Gary Hogeboom,S11,1,1,1,0,,
Terry Deitz,S12,1,1,0,0,,
Yul Kwon,S13,1,1,0,0,,
Yau-Man Chan,S14,1,1,1,4,1,
Mookie Lee,S14,1,1,0,0,,
Alex Angarita,S14,0,1,1,0,,
Earl Cole,S14,1,1,1,0,,
Todd Herzog,S15,1,1,0,0,,
James Clement,S15,1,2,0,0,,
Amanda Kimmel,S16,1,1,1,4,1,
Jason Siska,S16,1,1,0,0,,
Ozzy Lusth,S16,1,1,0,0,,
Parvati Shallow,S16,1,1,0,0,,
Matty Whitmore,S17,0,1,1,2,,
Randy Bailey,S17,1,1,0,0,,
Sugar Kiper,S17,1,1,0,0,,
Ace Gordon,S17,0,1,0,0,,
Brendan Synnott,S18,1,1,0,0,,
Taj Johnson-George,S18,1,1,0,0,,
Stephen Fishbach,S18,0,1,0,0,,
Russell Hantz-1,S19,1,1,1,0,,
Erik Cardona,S19,1,1,0,0,,
Russell Hantz-2,S19,1,1,1,7,1,
Russell Hantz-3,S19,1,1,0,0,,
Tom Westman,S20,1,1,1,3,,1
Russell Hantz-1,S20,1,1,1,4,1,
Parvati Shallow-1,S20,0,1,0,0,,
JT Thomas,S20,1,1,0,0,,
Russell Hantz-2,S20,0,1,0,0,,
Parvati Shallow-2,S20,1,1,1,5,,1
Parvati Shallow-3,S20,0,1,1,0,,
Jerri Manthey,S20,0,1,0,0,,
Sandra Diaz-Twine-1,S20,0,1,0,0,,
Russell Hantz-3,S20,1,1,1,0,,
Sandra Diaz-Twine-2,S20,1,1,1,2,,
Danielle DiLorenzo,S20,0,0,0,0,,
Marty Piombo,S21,1,1,0,0,,
Sash Lenahan,S21,0,1,1,1,,
NaOnka Mixon,S21,1,1,0,0,,
Chase Rice,S21,0,1,1,0,,
Kristina Kell,S22,1,1,1,2,,
Ralph Kiser,S22,1,1,1,0,,
Rob Mariano,S22,1,1,1,1,,
Ozzy Lusth,S23,1,1,1,0,,
Coach Wade,S23,1,1,0,0,,
Whitney Duncan,S23,0,0,0,0,,
Sabrina Thompson,S24,1,0,0,0,,
Colton Cumbie,S24,0,1,0,0,,
Kim Spradlin,S24,1,1,0,0,,
Troyzan Robertson,S24,1,1,1,2,,
Jonathan Penner,S25,1,1,1,5,1,
Abi-Maria Gomes,S25,1,1,1,3,,1
Malcolm Freberg,S25,1,1,0,0,,
Denise Stapley,S25,0,0,0,0,,
Reynold Toepfer-1,S26,1,1,1,1,,
Malcolm Freberg-1,S26,1,1,1,2,,
Reynold Toepfer-2,S26,1,1,0,0,,
Malcolm Freberg-2,S26,0,1,1,0,,
Malcolm Freberg-3,S26,1,1,1,4,,1
Eddie Fox,S26,0,1,0,0,0,1
Erik Reichenbach,S26,1,0,0,0,,
Andrea Boehlke,S26,0,1,0,0,,
Tyson Apostol-1,S27,1,1,1,0,,
Tyson Apostol-2,S27,1,1,1,2,,
Gervase Peterson,S27,0,1,0,0,,
Garrett Adelstein,S28,1,1,0,0,,
Tony Vlachos-1,S28,1,1,1,0,,
LJ McKanas,S28,1,1,1,0,,
Spencer Bledsoe,S28,1,1,1,0,,
Tony Vlachos-3,S28,1,1,0,0,,
Tony Vlachos-2,S28,1,1,1,0,,
John Rocker,S29,1,1,0,0,,
Keith Nale,S29,1,1,1,3,1,
Jon Misch-1,S29,1,1,1,4,1,
Natalie Anderson,S29,1,1,1,3,1,
Jon Misch-2,S29,1,1,0,0,,
Carolyn Rivera,S30,1,1,1,5,1,
Jenn Brown,S30,1,1,1,7,1,
Mike Holloway,S30,1,1,1,4,1,
Kelley Wentworth-1,S31,1,1,1,9,1,
Jeremy Collins-1,S31,1,1,1,5,1,
Jeremy Collins-2,S31,1,1,1,3,,1
Kelley Wentworth-2,S31,1,1,1,3,,1
Tai Trang,S32,1,2,0,0,,
Kyle Jason,S32,1,1,0,0,,
Neal Gottlieb,S32,1,1,0,0,,
Scot Pollard,S32,0,1,0,0,,
Jessica Lewis - LA,S33,1,1,0,0,,
David Wright-1,S33,1,1,1,5,1,
Adam Klein-1,S33,1,1,1,4,,
David Wright-2,S33,1,1,1,0,,
Jay Starrett,S33,1,1,1,1,,
Ken McNickle - LA,S33,0,1,1,1,,
Adam Klein-2,S33,1,1,1,0,,
Sierra Thomas - LA,S34,1,1,,,,
Troyzan Robertson,S34,1,1,1,0,,
Tai Trang-1,S34,1,1,1,6,1,
Sierra Thomas,S34,0,1,0,0,,
JT Thomas,S34,1,1,0,0,,
Tai Trang-2,S34,1,1,1,2,1,
Tai Trang-3,S34,1,1,1,1,1,
Sarah Lacina - LA,S34,0,1,1,3,1,
Ryan Ulrich-1,S35,1,1,0,0,,
Chrissy Hofbeck,S35,0,1,0,0,,
Joe Mena-1,S35,1,1,1,2,,1
Mike Zahalsky,S35,1,1,1,2,,
Joe Mena-2,S35,1,1,1,0,,
Ryan Ulrich-2,S35,1,1,1,2,,
Ben Driebergen-1,S35,1,1,1,6,1,
Lauren Rimmer,S35,1,1,0,0,,
Ben Driebergen-2,S35,1,1,1,0,,
Ben Driebergen-3,S35,1,1,1,3,1,
Jacob Derwin - LA,S36,1,1,0,0,,
Domenick Abbate-1,S36,1,1,1,0,,
Morgan Ricke - LA,S36,0,1,0,0,,
Michael Yerger-1,S36,1,1,1,0,,
Domenick Abbate - LA,S36,0,1,1,0,,
Michael Yerger-2,S36,1,1,1,7,1,
Wendell Holland,S36,1,1,1,1,,
Chris Noble,S36,1,1,0,0,,
Donathan Hurley,S36,1,1,1,1,,
Dan Rengering-1,S37,1,1,1,2,,
Davie Rickenbacker-1,S37,1,1,1,7,1,
Dan Rengering-2,S37,1,1,1,0,0,
Christian Hubicki,S37,1,1,1,5,1,
Nick Wilson,S37,1,1,1,0,,
Davie Rickenbacker-2,S37,1,1,1,2,,
Angelina Keeley,S37,1,1,1,0,,
Lauren O'Connell,S38,1,1,1,1,0,
Aubry Bracco,S38,1,1,0,0,0,
Kelley Wentworth,S38,1,1,0,0,0,
Rick Devens-1,S38,1,1,1,1,0,
Rick Devens-2,S38,1,1,1,4,1,
Rick Devens-3,S38,1,1,1,3,1,
Chris Underwood,S38,1,1,1,3,1,
Rick Devens-4,S38,1,1,1,0,,
Chelsea Walker,S39,1,1,0,0,0,
Kellee Kim-1,S39,1,1,1,5,1,
Vince Moua,S39,1,1,0,0,0,
Jamal Shipman,S39,1,1,1,0,0,
Dean Kowalski,S39,0,1,,,,
Kellee Kim-2,S39,1,1,0,,,
Kellee Kim-3,S39,1,1,0,,,
Janet Carbin-1,S39,1,1,1,2,0,
Karishma Patel,S39,1,1,1,7,1,
Lauren Beck,S39,1,1,1,0,0,
Elaine Stott,S39,1,1,1,0,0,
Janet Carbin-2,S39,1,1,1,0,0,
Dean Kowalski,S39,1,1,0,,,
Sandra Diaz-Twine*,S40,1,1,,,,
Denise Stapley-1,S40,1,1,1,0,0,
Kim Spradlin,S40,1,1,1,2,0,
Sophie Clarke,S40,1,1,,,,
Denise Stapley-2*,S40,,1,1,4,1,
Michele Fitzgerald*,S40,1,1,1,2,,
Tony Vlachos,S40,1,1,,,,
Ben Driebergen,S40,1,1,,,,
